"MHDM"	"MSVT"	"HPVT"	"LVT"	"GC"
"CA.11110"	"V20272"	"0,1"	""	""
"CA.11110"	"V20342"	"1"	""	""
"CA.11110"	"V20200"	"0,4"	""	""
"CA.11110"	"V20195a"	"0,1"	""	""
"CA.11110"	"V20192"	"0,2"	""	""
"CA.11110"	"V29999"	"10"	""	""
"CA.11110"	"N01407"	"2,4"	""	""
"CA.11120"	"V20272"	"0,1"	""	""
"CA.11120"	"V20342"	"1"	""	""
"CA.11120"	"V20200"	"0,4"	""	""
"CA.11120"	"V20195a"	"0,1"	""	""
"CA.11120"	"V20192"	"0,2"	""	""
"CA.11120"	"V29999"	"10"	""	""
"CA.11120"	"N01407"	"3,6"	""	""
"CA.11210"	"V20272"	"0,1"	""	""
"CA.11210"	"V20342"	"1"	""	""
"CA.11210"	"V20200"	"0,4"	""	""
"CA.11210"	"V20195a"	"0,1"	""	""
"CA.11210"	"V20192"	"0,2"	""	""
"CA.11210"	"V29999"	"10"	""	""
"CA.11210"	"N01407"	"2,6"	""	""
"CA.11220"	"V20272"	"0,1"	""	""
"CA.11220"	"V20342"	"1"	""	""
"CA.11220"	"V20200"	"0,4"	""	""
"CA.11220"	"V20195a"	"0,1"	""	""
"CA.11220"	"V20192"	"0,2"	""	""
"CA.11220"	"V29999"	"10"	""	""
"CA.11220"	"N01407"	"3,8"	""	""
"CA.12110"	"V20272"	"0,1"	""	""
"CA.12110"	"V20342"	"1"	""	""
"CA.12110"	"V20200"	"0,4"	""	""
"CA.12110"	"V20195a"	"0,1"	""	""
"CA.12110"	"V20192"	"0,2"	""	""
"CA.12110"	"V20166"	"0,01"	""	""
"CA.12110"	"V20143"	"0,2"	""	""
"CA.12110"	"V29999"	"10"	""	""
"CA.12110"	"N01407"	"3,2"	""	""
"CA.12120"	"V20272"	"0,1"	""	""
"CA.12120"	"V20342"	"1"	""	""
"CA.12120"	"V20200"	"0,4"	""	""
"CA.12120"	"V20195a"	"0,1"	""	""
"CA.12120"	"V20192"	"0,2"	""	""
"CA.12120"	"V20166"	"0,01"	""	""
"CA.12120"	"V20143"	"0,2"	""	""
"CA.12120"	"V29999"	"10"	""	""
"CA.12120"	"N01407"	"4,4"	""	""
"CA.12210"	"V20272"	"0,1"	""	""
"CA.12210"	"V20342"	"1"	""	""
"CA.12210"	"V20200"	"0,4"	""	""
"CA.12210"	"V20195a"	"0,1"	""	""
